Id;Bezeichnung;Öffnungszeiten;Strukturierte-Öffnungszeiten;Sonstige Angaben;Anmerkung;Postadresse Straße;Postadresse Hausnummer;Postadresse PLZ;Postadresse Ort;Postadresse Adresszusatz;Postadresse Aufzug vorhanden;Postadresse Rollstuhlgeeignet;Postfach PLZ;Postfach Ort;Postfach Postfach;Postfach Aufzug vorhanden;Postfach Rollstuhlgeeignet;Besucheradresse Straße;Besucheradresse Hausnummer;Besucheradresse PLZ;Besucheradresse Ort;Besucheradresse Adresszusatz;Besucheradresse Aufzug vorhanden;Besucheradresse Rollstuhlgeeignet;Lieferadresse Straße;Lieferadresse Hausnummer;Lieferadresse PLZ;Lieferadresse Ort;Lieferadresse Adresszusatz;Lieferadresse Aufzug vorhanden;Lieferadresse Rollstuhlgeeignet;Telefon Veröffentlichen;Telefon Kontakt;Fax Veröffentlichen;Fax Kontakt;Mobil Veröffentlichen;Mobil Kontakt;E-Mail Veröffentlichen;E-Mail Kontakt;Website Veröffentlichen;Website Kontakt;Übergeordnete Organisationseinheit
269509;Fachbereich 3 - Bauliche Infrastruktur;"<p>Montag &amp; Dienstag: 08.00 Uhr bis 12.00 Uhr und 14.00 Uhr bis 16.00 Uhr<br> Mittwoch &amp; Freitag:&nbsp; 08.00 Uhr bis 12.00 Uhr - nachmittags geschlossen!<br> Donnerstag:&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; 08.00 Uhr bis 12.00 Uhr und 14.00 Uhr bis 18.00 Uhr</p>";;;;Hauptstraße;27;67697;Otterberg;;;;;;;;;Konrad-Adenauer-Straße;19;67731;Otterbach;;;;;;;;;;;true;06301 607-0;true;06301 719403;;;true;postfach@otterbach-otterberg.de;true;https://www.otterbach-otterberg.de;269515
269510;Fachbereich 1 - Zentrale Dienste;"<p>Montag &amp; Dienstag: 08.00 Uhr bis 12.00 Uhr und 14.00 Uhr bis 16.00 Uhr<br> Mittwoch &amp; Freitag:&nbsp; 08.00 Uhr bis 12.00 Uhr - nachmittags geschlossen!<br> Donnerstag:&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; 08.00 Uhr bis 12.00 Uhr und 14.00 Uhr bis 18.00 Uhr</p>";;;;Hauptstraße;27;67697;Otterberg;;true;true;;;;;;Hauptstraße;27;67697;Otterberg;;true;true;;;;;;;;true;06301 607-0;true;06301 719403;;;true;postfach@otterbach-otterberg.de;true;https://www.otterbach-otterberg.de;269515
269511;Fachbereich 2 - Bürgerdienste;"<p>Verwaltung:<br> Montag &amp; Dienstag: 08.00 Uhr bis 12.00 Uhr und 14.00 Uhr bis 16.00 Uhr<br> Mittwoch &amp; Freitag:&nbsp; 08.00 Uhr bis 12.00 Uhr - nachmittags geschlossen!<br> Donnerstag:&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; 08.00 Uhr bis 12.00 Uhr und 14.00 Uhr bis 18.00 Uhr</p> 
<p>Bürgercenter:<br> Montag &amp; Dienstag: 08.00 Uhr bis 16.00 Uhr<br> Mittwoch &amp; Freitag:&nbsp; 08.00 Uhr bis 12.00 Uhr - nachmittags geschlossen!<br> Donnerstag:&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; 08.00 Uhr bis 18.00 Uhr</p>";;;;Hauptstraße;27;67697;Otterberg;;true;true;;;;;;;;;;;;;;;;;;;;true;06301 607-0;true;06301 719403;;;true;postfach@otterbach-otterberg.de;true;https://www.otterbach-otterberg.de;269515
269512;Fachbereich 4 - Finanzen;"<p>Montag &amp; Dienstag: 08.00 Uhr bis 12.00 Uhr und 14.00 Uhr bis 16.00 Uhr<br> Mittwoch &amp; Freitag:&nbsp; 08.00 Uhr bis 12.00 Uhr - nachmittags geschlossen!<br> Donnerstag:&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; 08.00 Uhr bis 12.00 Uhr und 14.00 Uhr bis 18.00 Uhr</p>";;;;Hauptstraße;27;67697;Otterberg;;;;;;;;;Konrad-Adenauer-Straße;19;67731;Otterbach;;;;;;;;;;;true;06301 607-0;true;06301 719403;;;true;postfach@otterbach-otterberg.de;true;https://www.otterbach-otterberg.de;269515
269514;Fachbereich 5 - Kommunale Betriebe u. andere Betriebszweige;"<p>Montag &amp; Dienstag: 08.00 Uhr bis 12.00 Uhr und 14.00 Uhr bis 16.00 Uhr<br> Mittwoch &amp; Freitag:&nbsp; 08.00 Uhr bis 12.00 Uhr - nachmittags geschlossen!<br> Donnerstag:&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; 08.00 Uhr bis 12.00 Uhr und 14.00 Uhr bis 18.00 Uhr</p>";;;;Hauptstraße;27;67697;Otterberg;;true;true;;;;;;Hauptstraße;27;67697;Otterberg;;true;true;;;;;;;;true;06301 607-0;true;06301 719403;;;true;postfach@otterbach-otterberg.de;true;https://www.otterbach-otterberg.de;269515
269515;Bürgermeister und Beigeordnete;"<p>Montag &amp; Dienstag: 08.00 Uhr bis 12.00 Uhr und 14.00 Uhr bis 16.00 Uhr<br> Mittwoch &amp; Freitag:&nbsp; 08.00 Uhr bis 12.00 Uhr - nachmittags geschlossen!<br> Donnerstag:&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; 08.00 Uhr bis 12.00 Uhr und 14.00 Uhr bis 18.00 Uhr</p>";;;;Hauptstraße;27;67697;Otterberg;;true;;;;;;;;;;;;;;;;;;;;;true;06301 607-0;true;06301 719403;;;true;postfach@otterbach-otterberg.de;true;https://www.otterbach-otterberg.de;344081
340866;Schiedsamt;;;;;Hauptstraße;27;67697;Otterberg;;true;true;;;;;;;;;;;;;;;;;;;;true;06301 607-0;true;06301 719403;;;true;postfach@otterbach-otterberg.de;true;https://otterbach-otterberg.de;344081
350020;Ortsbürgermeister Otterbach;;;;;;;;;;;;;;;;;Hauptstraße;27;67697;Otterberg;;true;true;;;;;;;;true;06301 607-0;true;06301 719403;;;true;postfach@otterbach-otterberg.de;true;https://www.otterbach-otterberg.de;344081
350023;Ortsbürgermeister Katzweiler;;;;;;;;;;;;;;;;;Hauptstraße;27;67697;Otterberg;;true;true;;;;;;;;true;06301 607-0;true;06301 719403;;;true;postfach@otterbach-otterberg.de;true;https://www.otterbach-otterberg.de;344081
350026;Ortsbürgermeister Hirschhorn;;;;;;;;;;;;;;;;;Hauptstraße;27;67697;Otterberg;;true;true;;;;;;;;true;06301 607-0;true;06301 719403;;;true;postfach@otterbach-otterberg.de;true;https://www.otterbach-otterberg.de;344081
